Singapore,#genre#
5频道,https://dlau142f16b92.cloudfront.net/hls/ch5ctv/master02.m3u8
亚洲新闻台,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_5.m3u8
8频道,https://d34e90s3s13i7n.cloudfront.net/hls/ch8ctv/master02.m3u8
U频道,https://d3inlz9elsutjl.cloudfront.net/hls/chuctv/master02.m3u8
Vasantham,https://d39v9xz8f7n8tk.cloudfront.net/hls/vsnthmctv/master02.m3u8
Suria,https://d11h6a6nhl9kj9.cloudfront.net/hls/suriactv/master02.m3u8


Malaysia,#genre#
Astro Awani,https://bcsecurelivehls-i.akamaihd.net/hls/live/722763/4508222217001/stream04/streamPlaylist.m3u8
Bernama,http://freeview.mywire.org:9090/streams/bnc.m3u8
TV1,https://rtm1mobile.secureswiftcontent.com/Origin01/ngrp:RTM1/chunklist_b2064000.m3u8
TV2,https://rtm2mobile.secureswiftcontent.com/Origin01/ngrp:RTM1/chunklist_b2064000.m3u8
OKEY,https://rtmokeymobile.secureswiftcontent.com/Origin02/ngrp:RTM2/chunklist_b2064000.m3u8
TV3,https://exodiver.github.io/IPTV/M3U8/Token/TV3.m3u8
NTV7,https://raw.githubusercontent.com/exodiver/IPTV/master/M3U8/Token/NTV7.m3u8
八度空间,https://raw.githubusercontent.com/exodiver/IPTV/master/M3U8/Token/8TV.m3u8
TV9,https://raw.githubusercontent.com/exodiver/IPTV/master/M3U8/Token/TV9.m3u8
